"행정구역별(1)",행정구역별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"행정구역별(1)",행정구역별(2),주민등록인구수(등록외국인포함) (명),합계,합계,합계,종합병원 (개),종합병원 (개),종합병원 (개),병원 (개),병원 (개),의원 (개),의원 (개),특수병원 (개),특수병원 (개),요양병원 (개),요양병원 (개),치과병(의)원 (개),치과병(의)원 (개),한방병원 (개),한방병원 (개),한의원 (개),한의원 (개),조산소 (개),조산소 (개),부속병·의원 (개),부속병·의원 (개),보건의료원 (개),보건소 (개),보건지소 (개),보건진료소 (개)
"행정구역별(1)",행정구역별(2),소계,병원수 (개),병상수 (개),병상확보율 (%),병원수,병상수,만명당종합병원수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,소계,소계,소계,소계
"총계",소계,53072685,67100,696958,1.31,353,151547,0.07,1406,150928,31687,59607,148,40478,1452,271104,17503,339,297,19263,13997,3353,20,26,237,313,16,232,1320,1892
"서울특별시",소계,10049607,17387,86536,0.86,58,33318,0.06,221,18484,8379,10750,6,1670,114,18762,4863,143,42,2583,3639,819,3,7,62,0,-,25,23,-
"서울특별시",종로구,163026,500,3408,2.09,4,2970,0.25,2,225,186,170,-,-,-,-,164,40,-,-,136,3,-,-,8,0,-,1,-,-
"서울특별시",중구,135633,562,1473,1.09,3,974,0.22,3,261,234,185,-,-,-,-,214,0,1,53,94,0,-,-,13,0,-,1,3,-
"서울특별시",용산구,245090,309,992,0.40,1,725,0.04,2,172,131,95,-,-,-,-,108,0,-,-,63,0,1,0,3,0,-,1,-,-
"서울특별시",성동구,316463,433,1874,0.59,1,845,0.03,5,403,197,119,-,-,3,507,132,0,-,-,95,0,-,-,-,-,-,1,-,-
"서울특별시",광진구,371063,553,2322,0.63,2,1097,0.05,5,438,269,519,-,-,2,234,154,0,-,-,121,34,-,-,-,-,-,1,2,-
"서울특별시",동대문구,364338,618,5688,1.56,5,2002,0.14,14,1608,252,474,-,-,8,1390,159,26,1,183,178,0,1,5,-,-,-,1,-,-
"서울특별시",중랑구,408147,498,3049,0.75,3,1041,0.07,12,831,228,667,1,199,2,286,146,0,-,-,106,25,-,-,-,-,-,1,-,-
"서울특별시",성북구,447687,531,3402,0.76,1,1048,0.02,7,511,251,451,1,230,6,1161,152,0,-,-,112,1,-,-,1,0,-,1,2,-
"서울특별시",강북구,322915,451,2205,0.68,1,201,0.03,8,766,223,446,-,-,6,755,119,1,-,-,94,36,-,-,-,-,-,1,-,-
"서울특별시",도봉구,341649,364,2988,0.87,1,417,0.03,8,1205,156,174,1,162,7,860,104,0,2,170,84,0,-,-,1,0,-,1,1,-
"서울특별시",노원구,548160,721,3773,0.69,3,1657,0.05,6,419,352,425,-,-,7,1185,194,0,2,85,157,2,-,-,-,-,-,1,3,-
"서울특별시",은평구,487666,646,3013,0.62,1,200,0.02,10,842,310,446,1,436,5,956,176,0,2,76,141,57,-,-,-,-,-,1,2,-
"서울특별시",서대문구,323080,430,3799,1.18,2,2659,0.06,5,265,205,307,-,-,3,435,123,7,1,90,91,36,-,-,-,-,-,1,1,-
"서울특별시",마포구,386359,716,694,0.18,-,-,-,2,202,358,202,-,-,2,211,199,0,1,33,153,46,-,-,1,0,-,1,1,-
"서울특별시",양천구,468145,627,2791,0.60,2,1074,0.04,6,777,277,379,-,-,4,279,183,0,3,196,152,86,-,-,-,-,-,1,2,-
"서울특별시",강서구,603611,804,3616,0.60,4,816,0.07,15,1205,369,612,-,-,4,691,219,0,3,183,187,107,1,2,2,0,-,1,-,-
"서울특별시",구로구,438486,557,4403,1.00,2,1264,0.05,8,560,259,400,1,430,7,1652,166,0,1,55,110,42,-,-,3,0,-,1,1,-
"서울특별시",금천구,254021,340,1911,0.75,1,225,0.04,6,626,152,342,-,-,4,621,103,0,1,47,73,50,-,-,-,-,-,1,-,-
"서울특별시",영등포구,403600,743,5642,1.40,7,2128,0.17,8,851,326,392,-,-,12,2202,234,0,1,55,145,14,-,-,10,0,-,1,-,-
"서울특별시",동작구,409385,571,2927,0.71,2,1599,0.05,5,393,257,323,-,-,3,535,171,0,1,30,132,47,-,-,-,-,-,1,-,-
"서울특별시",관악구,520040,681,2406,0.46,2,484,0.04,9,604,306,527,-,-,3,677,204,0,-,-,154,114,-,-,3,0,-,1,1,-
